Retort_Temperature,Holding_Time,F0,Storage_Temperature,Storage_Day,pH,PV,TPC,O2,CO2,Moisture_Content,L_Value,a_Value,b_Value,Shelf_Life_Remaining
121.0,32.7,36.48,36.4,116.5,6.14,8.69,10.25,1.65,15.44,27.5,33.3,19.4,5.7,9.5
122.0,21.3,17.63,25.9,36.5,5.26,1.28,3.68,9.71,12.57,30.6,64.4,1.8,0.4,22.5
114.7,23.5,34.65,19.9,24.4,4.6,0.17,2.2,19.01,12.34,67.4,64.0,5.3,25.9,52.1
118.0,10.4,20.5,22.1,21.9,5.97,3.49,2.33,17.13,2.07,30.1,65.7,-8.4,12.4,53.7
112.3,35.3,13.78,39.2,119.7,6.0,8.86,8.77,2.28,23.73,76.6,71.6,4.8,29.1,7.0
123.8,12.5,27.24,29.9,47.9,4.09,3.8,3.48,16.38,13.85,45.7,41.1,-7.8,19.0,32.3
128.6,33.9,36.84,33.7,58.3,6.63,2.53,4.01,5.31,14.84,68.8,67.9,10.5,16.2,21.1
128.5,25.0,29.5,42.8,99.0,5.62,7.94,11.1,0.09,19.53,38.1,74.8,-2.7,0.7,9.3
113.7,27.4,25.77,37.3,118.6,4.24,8.56,9.0,0.76,15.15,20.9,60.9,8.3,26.7,3.0
119.2,18.2,24.46,40.7,113.9,4.16,7.52,11.0,2.39,22.27,74.8,76.8,9.5,19.1,0.1
115.2,24.0,15.76,36.1,110.9,5.53,8.74,9.64,1.83,19.53,77.9,47.3,-9.9,29.3,1.0
123.5,28.0,18.7,21.1,12.3,6.93,7.35,1.87,18.3,6.63,71.5,48.3,7.4,22.4,51.3
121.2,37.4,24.65,27.4,35.6,5.47,7.13,3.53,2.49,3.5,51.8,40.2,-5.3,1.9,26.4
113.8,37.8,10.29,29.1,48.4,4.1,3.04,4.06,6.15,8.93,37.6,77.1,2.8,1.3,32.6
127.9,19.0,10.3,9.8,6.0,5.19,3.53,0.48,16.76,1.03,55.0,43.5,-2.4,20.8,88.8
112.8,30.1,17.37,22.2,28.5,4.72,2.54,2.2,12.1,5.45,20.0,76.3,6.2,12.5,62.9
125.2,34.4,25.73,15.6,17.3,5.62,6.21,1.97,9.92,14.83,53.5,48.0,7.1,24.9,69.7
111.2,17.4,15.99,38.3,99.2,4.83,7.89,11.76,1.3,21.39,65.0,72.5,8.2,4.2,7.5
121.9,36.7,17.09,43.2,110.8,5.26,7.24,10.05,0.2,15.03,65.2,54.3,17.8,6.7,7.3
117.5,22.7,31.45,35.9,116.2,5.33,7.51,8.23,1.99,24.69,48.0,57.9,16.6,26.0,0.6
111.8,17.4,17.01,19.0,24.0,4.46,1.79,1.53,15.42,5.78,48.6,68.8,-5.4,25.5,59.6
114.0,21.0,27.06,31.8,48.0,5.23,2.95,3.07,1.54,9.76,66.5,67.3,2.9,27.2,32.3
119.2,34.6,30.78,13.8,7.0,6.63,2.1,0.85,3.09,6.17,70.5,30.3,16.4,25.0,113.3
114.7,10.7,29.34,39.2,92.4,4.07,6.23,10.43,0.06,22.26,61.0,32.8,3.6,11.8,6.8
120.5,30.6,13.81,16.7,26.2,4.93,0.85,1.28,12.67,8.93,40.0,38.9,8.2,25.1,71.0
129.1,38.8,28.87,35.0,59.7,6.61,1.55,4.02,7.28,10.46,21.9,31.8,8.3,29.1,31.8
111.2,17.8,39.71,33.9,40.1,6.21,7.33,3.45,14.6,2.21,78.0,53.4,12.7,1.0,28.4
114.3,11.9,36.76,8.2,9.6,4.47,4.8,0.66,13.27,7.88,49.3,36.6,13.9,27.3,85.6
123.1,23.4,11.56,18.5,13.8,6.41,7.37,1.96,8.05,5.33,53.0,47.5,12.9,13.5,63.1
124.6,19.3,33.61,33.9,50.5,5.26,7.26,3.28,4.61,1.46,62.5,54.4,12.6,7.0,29.7
128.2,27.8,33.52,39.5,115.7,6.78,9.35,9.71,1.81,23.63,62.4,48.1,10.1,28.1,4.9
117.5,33.5,18.68,43.6,112.8,6.06,5.54,9.57,2.05,15.58,62.8,61.5,19.6,8.7,0.7
119.0,16.1,24.5,12.8,6.9,4.85,1.83,0.29,2.86,1.43,56.3,55.6,16.0,6.8,94.8
119.1,37.9,12.49,22.1,12.4,4.85,7.47,1.9,11.79,7.47,78.6,54.4,-3.1,21.0,51.3
126.5,19.3,33.56,32.8,59.7,4.84,2.02,4.03,15.2,12.87,43.8,58.7,0.5,14.8,28.7
118.0,15.0,22.92,44.3,112.8,5.5,5.8,10.19,0.67,17.66,28.1,78.6,-0.9,7.1,4.0
129.7,39.7,13.67,42.2,119.2,4.85,9.58,9.94,1.23,24.49,65.8,66.8,11.2,15.7,2.0
128.9,38.6,35.88,23.0,19.1,4.76,4.63,1.19,6.59,7.65,53.9,36.3,-8.9,28.6,57.5
122.4,37.3,24.67,7.6,1.7,4.87,3.57,1.0,17.2,0.76,58.6,71.0,-2.8,29.3,85.2
129.0,15.7,27.97,32.2,36.0,5.7,2.8,2.77,6.01,3.41,49.8,73.8,2.3,15.3,31.3
110.2,31.4,30.45,34.9,37.5,5.76,0.51,2.53,16.72,1.7,52.1,33.6,13.7,9.8,27.3
126.9,18.9,19.53,6.2,9.3,6.11,4.11,0.82,3.26,2.62,55.6,47.1,-5.4,19.7,90.7
126.8,28.1,13.42,5.1,4.5,5.14,0.7,0.94,8.85,0.76,38.9,76.6,3.3,26.6,86.6
115.9,30.8,38.43,14.7,8.0,6.26,2.64,0.68,16.03,8.34,30.7,39.5,6.2,18.3,107.3
116.6,20.2,25.65,40.8,113.5,6.82,7.97,8.61,2.19,24.79,41.5,74.8,-4.0,20.9,5.3
113.0,35.2,36.38,27.5,55.5,6.29,7.57,3.6,3.8,6.0,64.4,48.3,19.4,13.1,32.8
119.2,20.5,39.91,41.2,98.0,4.58,8.73,10.28,1.58,16.21,78.3,71.5,9.6,17.6,8.0
113.5,39.9,38.15,37.5,92.6,6.31,7.71,8.86,1.79,21.57,68.0,65.3,-3.7,16.0,9.8
120.0,26.2,38.51,37.0,96.6,4.26,7.82,11.92,0.91,24.69,39.8,67.3,13.3,15.7,9.1
113.3,27.5,18.11,12.2,8.8,5.66,2.23,0.3,15.14,6.1,54.0,37.4,5.1,7.3,116.7
113.4,13.7,36.91,42.0,119.2,5.49,7.31,8.67,2.37,20.94,64.4,70.7,7.7,3.9,9.1
118.8,23.3,19.78,41.1,112.1,6.54,7.71,9.91,0.65,16.45,22.5,34.5,0.6,11.6,9.4
117.2,28.5,32.06,37.8,100.0,6.86,8.89,10.08,0.42,17.01,38.4,52.0,-1.6,11.4,5.1
127.6,39.3,19.96,37.3,101.4,5.15,9.99,10.21,2.71,15.02,51.3,34.4,11.7,5.5,9.5
127.4,12.9,29.92,15.5,19.2,4.18,2.78,2.11,16.19,5.19,78.7,70.7,5.7,27.0,46.3
118.5,18.3,14.46,9.5,0.8,4.11,0.56,0.35,18.54,3.39,54.3,76.4,13.0,21.8,102.2
113.8,19.0,15.15,22.4,20.0,6.82,5.23,1.13,14.08,10.83,69.1,60.1,5.8,22.6,69.4
110.5,25.6,17.78,12.6,1.4,4.69,7.53,0.24,10.76,9.93,76.2,55.3,12.2,10.4,110.4
118.2,35.1,13.75,38.5,91.8,5.22,6.78,8.46,2.82,24.21,62.1,48.3,-5.6,22.9,7.2
117.8,29.3,11.79,4.1,4.5,4.36,7.08,0.71,10.01,12.13,55.1,45.2,0.7,9.5,106.8
125.7,10.1,33.33,40.1,99.3,5.87,8.54,9.47,2.11,21.41,32.5,67.9,19.0,9.0,7.9
119.4,10.2,15.73,16.9,15.0,5.33,5.29,1.09,10.64,5.15,77.4,76.4,5.3,24.8,67.1
127.7,15.8,18.9,38.6,96.9,4.64,7.94,8.71,1.06,18.32,70.6,72.9,17.5,21.7,3.6
123.0,31.8,22.66,4.5,4.5,6.97,2.01,0.88,7.1,9.18,23.4,33.1,11.8,6.8,90.6
114.6,24.7,37.64,42.5,111.0,5.45,7.36,8.97,2.14,20.11,75.7,60.1,-3.5,8.9,8.5
123.6,11.9,37.46,31.1,45.1,5.13,7.16,2.64,16.72,9.68,35.0,34.9,3.2,22.5,22.5
128.4,36.2,33.67,32.9,36.4,6.45,3.35,4.23,11.76,6.96,60.9,62.2,0.5,19.2,27.8
118.7,16.6,13.05,25.4,34.8,5.67,5.67,3.86,3.42,7.43,76.1,36.1,19.9,2.7,21.6
117.5,19.2,36.46,42.5,110.6,4.73,7.27,10.37,0.76,22.7,67.0,54.1,18.5,16.5,9.7
126.0,32.4,25.68,39.1,116.8,6.22,5.36,10.14,0.34,15.73,69.1,56.6,5.6,18.9,2.9
128.7,15.6,26.14,25.9,42.1,6.7,7.9,3.12,12.88,13.98,41.5,34.2,12.9,3.2,34.1
123.4,19.8,26.49,15.7,10.6,6.94,0.37,1.86,11.56,8.67,79.5,61.2,5.4,11.6,50.6
129.0,25.0,20.39,18.7,19.2,5.36,0.79,1.32,7.37,0.51,56.4,61.0,3.3,27.7,75.0
129.9,26.7,19.44,44.5,118.9,5.96,9.13,8.1,2.9,19.61,60.5,57.6,18.9,22.4,2.3
111.8,30.5,19.17,26.8,49.0,4.82,5.45,3.68,15.38,2.05,65.1,46.9,5.3,8.1,21.5
122.9,21.4,16.78,9.3,9.9,6.8,6.28,0.71,5.31,10.24,63.9,57.2,-1.5,19.4,118.4
123.1,36.8,10.11,8.3,2.2,4.16,2.25,0.46,13.24,7.5,21.5,70.4,10.8,20.1,107.5
115.5,26.2,15.36,42.6,108.4,4.63,6.63,11.33,2.16,21.32,40.6,62.9,3.3,21.4,4.0
115.1,18.0,30.91,32.0,41.7,6.27,3.67,3.08,14.31,14.46,63.7,73.8,16.4,9.4,29.7
118.1,16.2,11.76,20.4,20.9,6.66,6.83,1.65,8.82,6.76,59.3,48.5,0.9,6.8,56.1
121.6,35.8,25.09,12.9,4.2,6.59,1.44,0.71,5.55,9.38,28.4,62.3,3.0,24.8,85.5
120.0,28.9,15.07,23.5,21.8,4.12,1.24,1.65,11.51,12.43,53.6,66.4,12.5,26.2,50.3
120.2,33.8,26.11,44.9,99.1,4.87,5.76,10.24,0.01,15.14,68.1,66.3,-6.5,27.7,5.5
119.5,38.4,17.82,20.1,13.1,6.36,2.67,1.09,16.38,11.66,67.1,33.2,3.1,6.4,46.0
121.8,22.8,36.02,15.2,21.1,6.92,3.05,2.15,6.08,0.71,56.4,70.7,9.5,13.4,58.4
120.5,25.9,18.91,27.8,40.1,6.82,6.75,2.97,15.87,0.74,35.4,41.5,19.0,9.4,22.1
116.2,39.6,31.92,19.9,15.1,5.94,1.4,2.39,16.93,1.03,74.2,71.9,-8.0,29.3,65.2
122.9,37.2,16.22,21.5,26.1,5.34,7.44,1.23,12.97,12.7,50.2,78.6,-3.9,18.6,71.4
127.5,28.4,33.89,32.2,56.1,5.96,7.6,3.5,3.81,8.48,20.8,43.3,17.2,10.5,24.4
129.5,22.8,16.01,6.8,8.1,4.56,2.76,0.63,12.55,2.24,50.3,73.1,15.6,9.3,90.9
128.1,23.3,22.79,32.5,44.0,5.47,3.93,2.62,12.06,10.8,64.3,74.0,-2.9,19.0,32.8
117.8,13.4,23.31,25.1,55.8,4.46,5.9,3.35,7.27,0.71,38.0,43.1,-4.1,18.8,33.7
110.2,28.6,33.34,40.8,98.3,5.05,9.09,10.96,2.64,15.56,46.3,43.4,-9.7,11.1,4.5
111.7,29.6,23.09,18.2,13.0,5.98,3.61,1.23,11.3,10.59,53.5,50.9,-6.1,14.6,53.6
121.4,19.4,22.66,25.8,37.3,6.89,1.54,2.94,18.65,9.59,73.9,76.7,-6.1,24.2,20.9
114.7,11.4,15.67,27.4,54.3,6.68,1.25,2.6,0.45,2.1,78.7,37.1,17.3,19.2,34.2
116.9,33.0,12.37,38.7,108.3,4.81,6.99,8.78,0.66,24.94,33.8,75.1,8.5,8.2,5.1
123.9,22.3,23.69,11.1,9.1,5.55,3.32,0.51,3.12,13.99,55.1,49.7,-3.9,10.0,110.5
129.8,16.1,26.16,42.9,90.6,6.25,7.26,10.2,0.81,20.73,39.8,60.2,-5.1,28.2,2.4
116.5,34.6,37.79,4.2,9.3,5.0,0.65,0.31,4.76,3.9,31.1,79.6,7.3,23.3,110.9
122.3,20.6,14.29,10.7,7.2,6.19,6.45,0.34,1.0,11.91,60.2,75.3,-0.2,26.3,104.0
128.6,39.4,39.9,39.2,109.7,6.86,5.73,10.36,1.11,22.17,23.8,78.5,9.6,1.1,7.6
113.3,32.2,29.35,25.5,50.1,4.06,0.79,4.47,19.63,10.67,42.5,72.7,7.4,25.4,29.1
128.0,14.6,17.27,35.3,117.4,6.11,7.18,11.36,2.71,23.25,51.7,79.2,15.1,21.3,6.1
113.4,29.3,15.65,32.6,46.5,4.91,2.17,3.28,3.92,12.45,68.1,38.9,18.8,23.7,23.3
114.2,29.3,33.83,23.4,11.5,5.14,4.57,1.72,8.04,6.28,21.8,35.4,6.9,24.0,45.5
129.5,27.0,12.36,34.4,50.0,6.19,6.01,2.98,12.14,0.5,39.4,30.2,-3.9,24.2,23.2
112.4,27.3,38.92,11.3,9.4,6.36,1.37,0.41,4.6,8.16,68.0,32.7,15.3,9.4,104.9
116.5,23.1,24.58,14.5,4.4,6.89,0.82,0.97,0.63,3.83,62.1,35.5,11.9,20.8,113.3
117.8,14.9,24.59,15.8,14.9,5.12,4.96,1.03,16.03,5.82,20.1,60.1,0.5,28.3,50.2
120.4,26.1,13.17,19.0,11.7,6.87,4.14,2.05,15.84,2.01,60.0,64.7,9.9,18.5,58.0
125.8,12.5,18.68,12.5,4.3,4.57,0.66,0.74,11.27,14.85,55.7,50.4,5.6,13.3,107.6
120.1,11.2,12.97,16.5,15.0,5.35,3.83,1.62,18.18,6.61,39.7,35.4,4.1,28.4,72.3
126.8,15.2,11.04,31.9,57.4,6.44,1.21,3.94,6.65,14.64,21.7,68.9,13.5,3.2,29.6
122.0,34.9,25.67,40.5,98.6,4.03,7.16,9.24,0.51,17.8,33.1,45.0,2.9,10.2,1.7
117.7,10.2,12.17,25.0,54.3,6.11,6.25,3.15,6.88,8.97,67.1,53.6,13.7,20.6,24.0
111.9,39.9,38.7,28.6,33.3,4.75,0.21,4.29,13.67,13.76,61.2,74.6,7.5,7.7,27.5
127.9,29.5,35.02,7.9,7.0,4.69,0.7,0.29,10.2,14.83,24.6,48.8,8.5,3.1,86.3
113.6,14.4,22.74,28.1,54.1,4.57,6.18,3.17,16.12,13.42,53.2,76.3,-0.9,9.7,34.7
124.7,13.4,21.32,10.9,6.6,6.61,6.54,0.88,17.69,11.88,45.1,45.0,4.3,1.5,87.5
116.6,18.4,15.32,35.0,113.3,6.93,9.92,8.36,1.9,19.1,35.2,75.2,13.9,3.5,8.7
122.2,38.7,20.86,8.3,5.4,6.47,3.4,0.24,17.16,4.9,52.4,39.9,19.0,14.6,91.0
118.6,32.5,15.27,20.6,20.4,4.35,2.14,1.6,4.64,14.19,46.7,71.0,16.3,4.0,48.0
113.0,24.9,39.82,6.6,0.8,6.76,1.37,0.69,6.56,8.61,23.3,50.9,5.1,24.0,104.2
113.5,16.6,38.95,27.3,44.7,4.09,4.25,2.69,18.15,13.51,61.1,76.1,-2.3,4.3,26.7
128.8,20.5,18.6,26.3,59.6,6.73,0.89,3.79,8.13,4.58,21.3,51.2,5.1,22.5,27.0
121.9,25.1,25.44,34.5,46.9,5.85,1.99,3.0,15.79,6.58,46.7,41.7,-5.8,18.8,19.2
121.6,32.1,17.27,20.4,17.4,5.41,4.57,1.36,13.97,14.08,48.3,48.3,-3.1,15.9,52.0
120.7,37.8,35.31,25.5,46.5,6.47,0.27,3.77,16.56,11.62,73.8,74.4,-5.5,2.5,34.7
128.0,23.9,25.9,22.6,24.5,4.56,2.87,2.39,9.85,2.86,27.5,60.3,3.5,13.2,62.7
122.1,23.8,26.24,4.2,1.2,4.49,6.65,0.84,8.37,2.56,72.5,57.2,-0.2,0.9,103.5
119.6,23.7,15.22,22.4,12.0,5.41,2.19,1.03,4.23,2.82,56.7,55.3,19.0,4.2,57.0
121.2,23.8,27.2,34.4,51.1,6.9,5.78,3.0,9.72,6.36,33.2,48.5,17.4,8.9,26.4
124.2,39.0,12.06,43.8,90.4,4.58,9.26,10.13,1.28,23.44,80.0,36.1,15.1,4.6,9.6
114.9,29.4,14.76,39.4,92.9,4.96,7.54,11.08,1.21,22.86,74.7,51.4,13.2,28.4,4.7
111.1,17.5,23.69,28.9,53.7,5.32,7.91,4.31,4.17,8.46,66.1,49.5,-1.5,19.9,20.2
115.4,26.2,17.25,26.3,44.6,5.97,3.5,2.53,5.3,12.76,67.9,41.6,-3.6,0.6,25.7
119.9,29.1,30.6,4.6,1.8,4.05,4.74,0.35,13.94,5.77,25.2,68.3,-4.4,9.1,87.2
118.7,38.3,22.22,24.5,24.9,6.03,6.61,1.86,15.1,3.23,32.2,77.6,-9.2,11.7,49.8
110.9,20.7,13.24,9.4,7.0,4.6,3.24,0.33,0.78,2.59,51.9,63.4,16.4,12.9,104.1
116.6,25.4,29.07,36.1,111.7,6.61,5.58,11.74,1.23,18.19,79.8,75.9,0.3,14.5,8.5
128.7,15.9,28.17,12.9,8.9,4.15,5.23,0.66,5.57,7.26,29.8,38.4,-0.9,26.9,93.5
121.4,16.2,31.47,40.2,95.4,5.82,8.3,11.82,1.98,16.88,43.8,66.5,19.5,21.5,1.6
129.1,28.8,31.5,37.9,103.6,6.54,6.74,8.73,0.37,17.4,57.6,32.2,19.9,8.9,5.2
129.6,25.1,38.42,34.7,53.5,6.69,3.19,3.62,7.99,0.09,32.1,65.0,-6.3,22.1,30.0
110.6,18.7,18.14,25.8,58.8,6.63,4.31,3.29,11.23,13.97,20.2,79.8,14.2,28.5,32.0
116.5,13.3,32.77,30.0,43.1,4.21,1.56,4.27,14.33,10.06,55.7,71.1,3.5,16.0,20.4
121.5,21.5,32.0,37.7,102.2,6.99,7.91,9.5,2.29,15.95,24.0,43.6,12.3,3.5,6.6
127.0,18.6,20.18,38.9,92.2,6.39,8.88,11.91,1.77,19.95,28.9,71.9,1.3,20.4,5.8
124.5,35.3,23.3,41.2,107.2,6.99,5.82,9.96,2.55,23.54,72.5,41.7,1.4,21.8,4.1
123.9,35.5,36.65,13.6,2.6,5.56,5.51,0.74,2.88,1.81,69.7,61.6,3.1,21.5,89.8
122.7,36.0,35.32,40.9,118.4,5.5,7.34,8.8,1.97,15.31,46.3,71.9,-4.3,3.2,7.5
129.8,20.4,35.73,38.2,91.9,5.57,9.7,10.55,2.54,24.94,34.1,43.1,10.8,17.5,5.4
118.6,23.8,17.52,34.9,42.8,5.42,2.7,3.19,2.37,5.23,69.1,35.5,2.1,17.5,32.2
111.7,29.8,13.87,33.2,50.4,4.44,7.66,3.69,7.87,8.14,30.0,68.6,17.2,2.4,32.7
125.8,20.9,16.8,30.7,39.9,4.84,1.1,3.73,3.82,0.44,29.5,65.6,-8.6,15.7,28.2
120.9,12.4,32.23,8.8,5.4,6.16,2.19,0.45,15.08,1.35,66.8,46.7,-8.8,7.3,104.1
117.5,22.8,11.6,35.6,104.3,6.64,8.72,10.03,1.49,18.21,53.5,40.6,4.0,1.4,2.7
113.8,37.0,26.26,35.3,116.8,5.36,8.31,8.25,1.01,21.9,24.4,73.5,-8.1,18.8,0.8
112.4,26.2,18.14,6.0,2.2,4.49,2.24,0.76,16.69,0.21,79.5,77.4,4.2,10.7,107.2
121.3,19.3,10.41,26.1,59.5,4.93,7.48,2.93,17.79,10.03,21.6,32.2,-3.8,1.9,18.7
119.6,12.4,22.25,23.9,12.0,4.54,0.2,1.05,13.8,14.74,68.9,30.1,-4.1,17.1,66.5
114.7,35.0,16.35,25.1,43.3,6.87,2.79,4.26,4.48,8.09,59.4,48.1,-10.0,27.8,18.5
129.1,13.4,17.03,36.6,101.0,5.75,8.32,8.52,0.66,19.91,78.5,35.5,-6.9,28.0,0.2
120.7,12.2,36.53,22.7,25.8,6.99,0.49,1.45,0.47,11.87,49.5,72.9,19.2,19.4,63.9
115.9,29.3,36.22,37.3,94.7,5.14,8.41,8.08,0.27,24.11,28.2,53.2,-8.4,25.6,9.8
113.5,17.9,28.26,21.2,12.8,4.0,3.6,1.8,4.84,10.43,21.9,65.4,-4.5,8.6,63.8
110.2,12.5,21.6,12.9,5.9,4.85,5.6,0.26,15.92,0.77,29.8,79.7,12.7,8.2,98.0
129.2,34.1,31.23,44.3,111.7,5.91,6.65,10.87,0.04,19.77,29.8,61.7,1.2,25.7,4.8
126.9,38.1,28.7,35.3,113.6,4.78,8.1,10.81,1.43,17.54,78.1,79.1,2.4,12.6,7.2
125.2,12.0,11.39,29.0,36.3,6.05,5.86,3.02,12.77,13.01,73.9,36.8,-6.6,26.2,30.4
110.1,20.7,34.84,33.1,56.9,4.56,6.7,3.02,2.46,8.66,36.2,46.0,15.7,16.4,24.8
118.2,33.7,22.39,22.1,17.0,5.32,3.36,2.41,2.15,10.06,25.4,60.8,-0.1,19.5,48.2
117.0,14.1,37.74,42.1,112.0,6.42,9.53,10.91,2.32,19.34,36.5,53.9,-5.7,0.7,4.3
121.5,39.3,14.94,42.8,107.0,4.61,7.9,10.46,2.93,18.65,61.2,55.3,-8.7,23.1,6.5
113.5,19.1,12.31,11.4,4.8,5.63,3.02,0.7,4.74,13.35,75.3,42.3,18.1,8.3,112.8
126.1,12.8,13.61,33.1,38.2,5.17,4.73,3.83,10.33,14.77,66.0,55.1,12.1,18.2,30.8
118.9,31.9,17.73,16.0,18.8,5.77,5.78,1.25,6.11,7.33,45.3,72.9,3.0,3.8,63.8
126.4,25.6,33.67,13.9,8.9,6.6,1.83,0.7,4.25,4.4,56.6,49.1,7.5,3.1,88.5
114.6,11.9,37.95,5.3,4.2,5.55,5.29,0.59,11.74,3.9,38.3,52.9,17.6,13.0,105.9
125.0,15.7,27.29,35.7,114.7,4.01,9.56,9.0,2.51,17.04,68.6,59.2,8.9,27.4,5.3
110.0,17.7,37.1,43.0,107.9,4.21,8.15,8.25,2.63,16.53,53.1,54.2,-0.6,10.2,1.6
115.3,33.0,11.51,7.1,7.7,5.75,5.7,0.73,7.75,11.48,66.9,30.7,0.9,7.9,85.9
114.3,39.1,10.78,27.3,56.4,4.23,4.35,3.71,5.8,1.63,58.6,76.4,-2.9,9.3,22.4
120.8,14.0,14.26,10.4,0.7,6.83,4.95,0.69,11.66,12.5,21.3,48.8,6.5,14.9,87.7
122.3,23.9,18.85,23.2,14.6,6.72,4.61,1.19,15.23,2.55,70.8,69.9,-1.3,12.9,73.1
111.5,17.6,21.85,22.2,14.4,6.76,3.18,1.05,16.1,6.58,60.9,68.0,16.7,4.6,52.0
113.8,38.2,29.08,14.9,0.7,4.91,0.83,0.67,16.06,6.27,63.8,39.9,3.4,22.0,86.1
129.8,11.5,27.88,36.8,110.4,4.5,7.11,10.74,1.95,24.68,66.4,62.0,-8.6,2.4,6.2
124.3,31.8,15.84,23.7,12.6,5.19,4.61,2.4,18.97,11.74,65.8,58.0,-4.8,2.6,62.6
124.7,21.6,26.04,37.4,107.1,6.89,8.86,10.31,1.05,22.84,67.3,39.4,12.9,24.5,5.7
124.7,26.2,10.57,7.5,1.8,6.08,3.85,0.17,18.17,13.29,52.5,72.9,-6.2,24.2,109.4
123.3,19.5,11.21,22.8,21.1,5.24,1.08,1.73,10.1,7.61,44.6,35.2,18.3,19.3,63.4
124.3,12.1,12.33,13.9,2.3,6.14,5.22,0.56,0.99,4.95,77.4,38.2,7.0,3.4,111.9
122.1,32.6,34.18,16.9,26.8,5.36,2.78,1.39,3.38,14.24,75.0,51.5,1.5,0.5,52.1
115.3,27.0,28.94,28.1,39.3,4.63,2.85,2.76,10.44,3.73,47.2,43.0,7.8,23.5,26.2
113.6,28.8,39.33,30.6,33.0,6.06,1.93,3.32,18.93,6.99,70.1,79.5,0.4,15.9,24.5
118.9,11.5,38.38,27.9,39.5,5.9,7.11,3.19,2.64,9.55,54.5,77.4,-3.0,25.5,21.0
115.6,13.8,21.61,23.7,26.6,4.03,6.91,1.46,14.5,6.14,49.5,72.3,12.2,16.3,55.3
122.7,28.6,32.21,14.9,3.4,4.0,3.16,0.2,10.03,14.66,20.3,73.8,-8.8,4.4,101.3
119.4,23.4,31.3,35.9,98.5,4.88,7.36,9.16,0.2,24.14,56.6,62.6,10.6,9.1,0.0
116.9,22.6,16.09,24.7,19.2,5.22,6.06,1.1,15.76,2.08,33.4,42.6,6.7,23.9,64.4
114.0,17.4,19.19,9.9,7.2,6.02,5.42,0.53,16.05,2.52,23.7,46.6,4.2,17.3,113.6
129.4,22.7,28.1,7.7,6.8,6.14,4.19,0.88,6.35,4.14,70.0,38.4,9.3,29.5,106.4
120.2,13.8,35.38,5.8,3.2,6.55,3.18,0.21,3.21,7.02,21.4,33.0,-6.1,26.0,113.8
117.3,25.8,36.11,23.4,12.9,4.03,1.1,1.85,1.52,7.05,56.8,32.3,-4.6,12.2,73.9
110.3,33.7,13.77,15.4,11.8,6.58,5.79,2.44,17.53,3.07,78.9,32.5,8.8,28.3,49.5
125.7,17.1,16.05,32.3,41.8,4.73,6.47,3.13,11.6,3.86,25.6,40.2,3.9,6.5,26.6
115.0,32.3,25.33,5.8,1.7,5.31,0.71,0.84,3.01,9.96,29.7,39.6,9.9,17.9,107.5
117.6,31.7,14.8,7.9,8.7,5.78,5.28,0.28,3.1,14.2,37.8,48.1,8.1,5.8,108.7
118.5,11.3,26.71,30.9,44.7,5.17,2.56,3.78,7.18,12.91,56.6,57.2,12.0,7.9,20.3
120.7,27.6,28.79,43.1,106.3,6.91,5.91,9.29,2.6,16.36,22.6,58.3,-8.1,11.3,5.9
123.8,20.2,34.71,17.6,27.3,5.33,7.31,1.06,5.81,2.43,74.7,43.9,-1.0,18.3,61.3
123.0,26.2,22.05,11.0,7.4,5.19,4.92,0.98,8.14,0.59,42.9,62.4,-4.2,28.6,90.6
120.1,27.6,33.07,39.1,109.7,4.07,9.59,9.92,1.21,24.27,58.0,31.3,4.6,0.3,2.3
120.8,22.3,21.24,4.3,7.2,6.87,3.03,0.17,18.76,11.29,46.5,77.3,-3.6,4.2,118.7
124.0,39.7,39.79,30.1,58.7,6.78,3.41,3.41,12.17,10.49,55.3,79.5,-2.6,25.2,30.2
128.2,28.6,18.17,26.3,33.1,4.97,6.97,3.8,0.86,14.91,38.5,60.4,1.7,15.5,34.0
111.3,10.8,26.03,21.5,11.8,4.07,2.98,1.74,6.72,4.31,29.1,38.6,-9.8,0.7,63.9
119.1,12.1,15.7,40.1,91.7,4.56,8.56,10.93,0.36,16.4,42.8,45.5,-9.1,27.7,8.8
113.4,39.4,22.57,44.9,96.9,5.3,8.48,10.86,2.73,15.72,24.7,35.2,13.3,28.6,8.2
119.5,19.4,33.46,24.8,19.8,6.44,7.86,1.11,18.87,9.36,70.9,59.0,6.1,6.4,65.5
111.9,12.2,16.83,15.5,26.7,5.75,1.92,1.06,2.7,1.42,28.9,71.5,15.3,14.1,49.4
121.0,36.4,20.27,13.5,6.0,4.97,3.2,0.98,17.79,3.51,68.6,79.1,19.2,3.8,112.3
125.7,27.4,30.65,29.3,55.6,4.8,2.5,4.09,18.52,12.29,47.9,76.7,-4.4,24.7,24.9
119.0,20.8,23.71,28.1,48.5,5.56,7.9,3.71,6.87,8.89,70.2,32.3,14.1,19.6,24.2
128.3,32.6,29.58,33.6,30.2,6.44,6.19,4.13,6.9,11.36,25.0,34.6,10.8,15.7,19.7
113.7,36.7,32.87,42.3,118.9,6.16,7.96,11.39,1.43,18.96,74.8,31.6,-0.3,1.9,4.7
110.8,19.9,33.95,27.4,57.3,4.77,2.13,2.99,8.65,9.81,39.2,72.1,7.9,26.5,28.3
126.3,23.8,33.22,12.8,1.5,6.0,4.44,0.17,17.58,1.8,21.0,38.7,16.5,6.1,85.7
